aa,35
ab,159
ac,203
ad,225
ae,81
af,74
ag,169
ah,76
ai,256
aj,24
ak,151
al,533
am,282
an,543
ao,18
ap,202
aq,8
ar,657
as,530
at,318
au,180
av,129
aw,150
ax,61
ay,141
az,93
ba,252
bb,53
bc,2
bd,1
be,250
bh,11
bi,154
bj,1
bk,2
bl,120
bm,1
bo,263
br,137
bs,89
bt,2
bu,154
bw,2
by,68
bz,1
ca,265
cc,28
ce,178
ch,360
ci,72
ck,180
cl,108
cm,2
cn,3
co,300
cr,147
cs,33
ct,50
cu,123
cw,1
cy,43
cz,1
da,151
db,1
dd,51
de,347
dg,44
dh,20
di,176
dj,6
dk,1
dl,17
dm,6
dn,1
do,227
dr,98
ds,222
dt,4
du,111
dv,1
dw,12
dy,124
dz,6
ea,323
eb,71
ec,102
ed,639
ee,308
ef,57
eg,74
eh,21
ei,116
ej,7
ek,54
el,347
em,156
en,393
eo,41
ep,102
eq,4
er,762
es,860
et,240
eu,41
ev,75
ew,96
ex,85
ey,128
ez,25
fa,125
fd,1
fe,122
ff,111
fi,119
fj,2
fl,106
fo,97
fr,72
fs,107
ft,66
fu,68
fy,36
ga,232
gb,1
gd,1
ge,228
gg,68
gh,71
gi,115
gl,98
gm,10
gn,22
go,189
gr,125
gs,135
gu,108
gw,2
gy,95
ha,315
hc,1
hd,1
he,255
hi,192
hl,8
hm,8
hn,4
ho,282
hp,1
hr,25
hs,70
ht,36
hu,109
hw,4
hy,75
ia,136
ib,55
ic,242
id,219
ie,230
if,86
ig,111
ih,6
ii,10
ij,6
ik,103
il,313
im,170
in,554
io,69
ip,101
iq,4
ir,235
is,346
it,272
iu,7
iv,89
iw,2
ix,51
iy,7
iz,52
ja,77
jd,1
je,49
jh,1
ji,49
jj,1
jn,1
jo,59
jr,4
ju,43
jw,1
jy,1
ka,160
kb,1
ke,291
kf,2
kh,20
ki,120
kk,13
kl,14
kn,33
ko,95
kr,27
ks,276
kt,6
ku,46
kv,3
kw,1
ky,135
la,453
lb,10
lc,24
ld,76
le,527
lf,22
lg,15
li,314
lj,2
lk,51
ll,209
lm,42
ln,9
lo,357
lp,40
ls,261
lt,94
lu,182
lv,24
lw,4
ly,174
lz,2
ma,347
mb,102
mc,1
md,1
me,324
mf,4
mh,2
mi,211
mk,2
ml,4
mm,64
mn,8
mo,242
mp,125
mr,5
ms,138
mt,1
mu,121
mv,1
my,83
mz,2
na,255
nb,9
nc,90
nd,168
ne,364
nf,9
ng,236
nh,4
ni,165
nj,10
nk,144
nl,16
nm,5
nn,91
no,174
np,5
nq,2
nr,9
ns,261
nt,215
nu,68
nv,6
nw,5
nx,1
ny,91
nz,14
oa,121
ob,107
oc,108
od,136
oe,68
of,60
og,117
oh,37
oi,119
oj,18
ok,122
ol,285
om,164
on,410
oo,328
op,159
oq,3
or,404
os,338
ot,232
ou,251
ov,70
ow,228
ox,53
oy,70
oz,40
pa,281
pb,2
pd,2
pe,314
pg,1
ph,64
pi,197
pj,3
pl,86
pn,1
po,218
pp,69
pr,127
ps,212
pt,55
pu,125
pw,1
py,103
pz,1
qa,7
qf,1
qh,1
qi,3
qo,2
qs,1
qu,93
ra,562
rb,46
rc,36
rd,101
re,642
rf,23
rg,65
rh,17
ri,390
rk,84
rl,72
rm,64
rn,90
ro,429
rp,33
rq,1
rr,107
rs,231
rt,130
ru,190
rv,30
rw,1
ry,126
rz,9
sa,227
sb,3
sc,120
sd,5
se,412
sg,1
sh,250
si,152
sk,130
sl,98
sm,65
sn,68
so,187
sp,175
sq,10
ss,105
st,412
su,97
sw,76
sy,103
sz,1
ta,349
tb,1
tc,40
td,1
te,419
tg,1
th,223
ti,194
tk,3
tl,14
tm,3
tn,2
to,279
tr,163
ts,404
tt,114
tu,119
tw,37
ty,177
tz,18
ua,67
ub,81
uc,87
ud,103
ue,101
uf,56
ug,94
uh,9
ui,80
uj,9
uk,54
ul,216
um,202
un,288
uo,20
up,103
uq,2
ur,328
us,303
ut,170
uv,12
uw,1
ux,15
uy,12
uz,25
va,112
vd,2
ve,299
vg,1
vh,1
vi,123
vl,3
vn,2
vo,73
vr,8
vs,13
vu,16
vv,8
vy,27
wa,207
wb,2
wc,3
wd,12
we,177
wf,6
wg,1
wh,68
wi,138
wk,18
wl,36
wm,5
wn,54
wo,74
wp,8
wr,39
ws,75
wt,19
wu,9
wy,20
wz,3
xa,10
xb,1
xc,1
xe,98
xf,1
xi,42
xl,5
xm,3
xn,1
xo,15
xp,3
xr,1
xt,14
xu,7
xy,16
ya,99
yb,12
yc,17
yd,17
ye,121
yf,5
yg,8
yi,29
yk,16
yl,78
ym,30
yn,45
yo,70
yp,34
yr,44
ys,79
yt,29
yu,27
yv,3
yw,1
yx,6
yz,1
za,57
ze,137
zh,4
zi,50
zl,4
zm,1
zo,59
zu,16
zv,1
zy,35
zz,35
